question,options,correct_option,difficulty,topic,explanation,id,pdf_source
Qual é a extensão padrão do arquivo de código fonte em linguagem Python?,"["".java"", "".cpp"", "".py"", "".txt""]",2,easy,Desenvolvimento de Software,A extensão padrão do arquivo de código fonte em linguagem Python é .py.,1,Data Science do zero_ Primeiras regras com o Python - PDF Room_e38082e0.pdf
Qual é a linguagem mais usada para Machine Learning e Data Science?,"[""Java"", ""Python"", ""C++"", ""JavaScript""]",1,medium,Inteligência Artificial,A linguagem Python é amplamente utilizada em Machine Learning e Data Science devido à sua flexibilidade e facilidade de uso.,2,Data Science do zero_ Primeiras regras com o Python - PDF Room_e38082e0.pdf
Qual é a diferença entre um dataset e um conjunto de dados?,"[""Dataset \u00e9 o mesmo que conjunto de dados"", ""Dataset \u00e9 uma cole\u00e7\u00e3o de dados organizados"", ""Dataset \u00e9 uma amostra de dados"", ""Dataset n\u00e3o existe""]",1,easy,Data Science,Um dataset (ou conjunto de dados) é uma coleção de dados organizados que podem ser utilizados para treinar modelos de aprendizado automático ou realizar análises estatísticas.,3,Data Science do zero_ Primeiras regras com o Python - PDF Room_e38082e0.pdf
Qual é a tecnologia mais usada para desenvolver aplicações web?,"[""Java"", ""Python"", ""JavaScript"", ""C++""]",2,medium,Desenvolvimento de Software,A linguagem JavaScript é amplamente utilizada para desenvolver aplicações web dinâmicas e interativas.,4,Data Science do zero_ Primeiras regras com o Python - PDF Room_e38082e0.pdf
Qual é a responsabilidade da editora Alta Books ao publicar um livro?,"[""Respons\u00e1vel pela produ\u00e7\u00e3o do conte\u00fado"", ""Respons\u00e1vel apenas pela edi\u00e7\u00e3o do texto"", ""N\u00e3o se responsabiliza por nada"", ""Respons\u00e1vel pelo copyright""]",3,easy,Editoração e Publicidade,"A editora Alta Books não se responsabiliza pelo conteúdo da obra, apenas pela edição do texto e sua distribuição.",5,Data Science do zero_ Primeiras regras com o Python - PDF Room_e38082e0.pdf
Qual é o formato utilizado para representar a estrutura da obra?,"[""HTML"", ""JSON"", ""XML"", ""Markdown""]",2,medium,Formatos de arquivo,A obra apresentada utiliza o formato XML para representar sua estrutura.,6,Data Science do zero_ Primeiras regras com o Python - PDF Room_e38082e0.pdf
Quem é o produtor editorial do livro?,"[""Claudia Braga"", ""Thi\u00ea Alves"", ""Anderson Vieira"", ""Sergio de Souza""]",1,easy,Autores e editores,O produtor editorial do livro é Thiê Alves.,7,Data Science do zero_ Primeiras regras com o Python - PDF Room_e38082e0.pdf
Qual é a linguagem em que o livro foi traduzido?,"[""Portuguese"", ""English"", ""Spanish"", ""French""]",0,easy,Linguagens,O livro foi traduzido para o português.,8,Data Science do zero_ Primeiras regras com o Python - PDF Room_e38082e0.pdf
Quem é o gerente de captação e contratação de obras do editora?,"[""J. A. Ru"", ""Anderson Vieira"", ""Sergio de Souza"", ""Carolina Giannini""]",0,medium,Funcionários do editora,O gerente de captação e contratação de obras do editora é J. A. Ru.,9,Data Science do zero_ Primeiras regras com o Python - PDF Room_e38082e0.pdf
Qual é o Acordo Ortográfico da Língua Portuguesa em que a obra foi revisada?,"[""2009"", ""2010"", ""2015"", ""2016""]",0,medium,Acordos linguísticos,A obra foi revisada conforme o Acordo Ortográfico da Língua Portuguesa de 2009.,10,Data Science do zero_ Primeiras regras com o Python - PDF Room_e38082e0.pdf
